"KNOW","GEND","ETHN","ORG","TEAM","EXP","EXPSH","GNRL","GEO","number","OUT","raw consist.","PRI consist.","SYM consist"
0,0,0,1,0,1,1,1,0,27,0,0.691402,0.401812,0.405978
0,0,1,0,1,0,0,0,0,10,0,0.717123,0.401484,0.406187
0,0,1,1,0,0,0,0,0,6,0,0.755217,0.401114,0.401113
1,0,0,0,0,1,0,0,1,4,0,0.706822,0.400584,0.401472
0,0,1,0,0,1,0,0,1,3,0,0.741004,0.399321,0.399771
1,0,0,0,1,0,1,0,0,2,0,0.748257,0.399188,0.399187
0,0,0,0,0,1,0,0,0,3,0,0.711732,0.397801,0.397802
1,0,0,0,0,0,0,0,1,10,0,0.674661,0.39391,0.394806
0,1,0,1,0,0,1,1,1,4,0,0.760741,0.393271,0.393269
1,0,0,0,0,1,0,0,0,3,0,0.72385,0.392678,0.392675
1,0,0,1,1,0,1,1,0,7,0,0.744853,0.392413,0.392414
0,1,1,1,0,1,1,1,1,4,0,0.775165,0.392232,0.392976
1,0,0,0,1,0,1,0,1,10,0,0.727658,0.391591,0.391822
0,0,1,0,1,0,1,0,0,3,0,0.754917,0.391516,0.391515
1,0,1,0,1,0,1,1,0,3,0,0.761383,0.391437,0.396652
1,0,0,0,1,1,1,1,1,3,0,0.741292,0.391204,0.391204
1,0,0,0,1,0,1,1,0,4,0,0.730008,0.39108,0.39197
0,1,0,1,0,0,1,1,0,5,0,0.756546,0.390007,0.390005
0,0,0,1,0,0,0,0,1,33,0,0.644655,0.388671,0.389316
0,0,1,0,1,0,0,1,0,2,0,0.756692,0.387972,0.387972
0,0,0,1,0,0,0,0,0,20,0,0.686531,0.387756,0.391739
1,0,0,1,0,1,1,1,0,20,0,0.714318,0.387066,0.387433
0,0,1,0,0,0,0,1,0,4,0,0.719903,0.386051,0.388731
0,0,0,1,0,0,1,0,1,28,0,0.655575,0.384248,0.384249
1,0,0,1,1,0,1,1,1,4,0,0.749256,0.382896,0.382896
0,0,1,0,1,1,1,0,1,10,0,0.734733,0.381842,0.381842
1,0,0,0,0,0,0,1,0,16,0,0.645175,0.379901,0.3799
1,0,1,1,0,1,0,1,1,13,0,0.694969,0.37916,0.384063
0,0,0,0,0,0,0,1,0,27,0,0.618733,0.377049,0.383403
1,0,1,0,0,0,0,1,0,6,0,0.737572,0.375375,0.37935
1,0,0,1,1,0,0,1,1,11,0,0.680981,0.374911,0.37751
0,0,1,0,0,0,0,0,1,48,0,0.601028,0.374744,0.383522
1,0,0,1,0,1,1,1,1,14,0,0.721522,0.374004,0.377138
0,0,0,1,0,0,1,0,0,17,0,0.66859,0.373753,0.373752
1,0,0,0,1,1,1,1,0,4,0,0.743537,0.373679,0.37368
0,0,1,1,0,1,0,1,1,5,0,0.714038,0.372793,0.372793
1,0,0,1,0,0,0,0,1,2,0,0.698074,0.372533,0.372531
0,1,0,0,0,0,1,1,1,2,0,0.746686,0.370683,0.372319
1,0,1,1,0,1,1,1,1,3,0,0.75556,0.368677,0.368677
0,0,0,1,1,0,1,0,0,3,0,0.74717,0.367054,0.367056
1,0,0,0,1,0,1,1,1,2,0,0.727758,0.365349,0.365348
0,1,0,0,0,0,0,1,0,9,0,0.693768,0.364575,0.364573
0,0,0,1,1,0,1,1,0,2,0,0.749975,0.364018,0.364018
0,0,1,0,0,0,1,0,0,9,0,0.718803,0.362173,0.371469
0,0,0,1,0,0,0,1,1,29,0,0.621104,0.3605,0.362616
0,0,0,0,1,0,0,1,0,6,0,0.69918,0.359413,0.361989
0,0,0,0,1,0,0,1,1,5,0,0.676162,0.358823,0.358824
0,0,0,1,0,1,0,1,1,20,0,0.646705,0.356865,0.360705
0,0,1,1,0,0,0,1,0,10,0,0.726614,0.354832,0.358019
1,0,1,0,0,0,0,0,1,6,0,0.699428,0.353117,0.353387
1,0,0,0,1,0,0,1,0,17,0,0.629498,0.350351,0.353502
0,0,1,1,0,0,1,1,0,2,0,0.771933,0.350141,0.350141
0,1,0,0,0,0,1,1,0,5,0,0.735734,0.349096,0.350546
1,0,0,0,1,0,0,1,1,28,0,0.619719,0.346585,0.355178
0,0,1,0,0,1,1,0,1,16,0,0.700736,0.346235,0.35726
1,0,0,0,0,1,1,1,1,3,0,0.753841,0.346144,0.346144
1,0,0,1,0,0,0,1,0,7,0,0.657913,0.343652,0.344471
0,0,0,0,0,1,1,0,0,6,0,0.686309,0.343005,0.343005
0,0,1,0,1,0,0,1,1,6,0,0.704528,0.341762,0.341764
1,0,1,1,0,0,1,1,1,3,0,0.750935,0.338814,0.338814
0,0,0,0,0,1,1,1,1,3,0,0.725828,0.338306,0.338306
0,0,0,0,1,0,1,1,0,3,0,0.721254,0.338238,0.339591
0,0,0,1,1,1,1,0,0,7,0,0.724367,0.337704,0.339999
1,0,0,0,0,1,0,1,1,3,0,0.69356,0.336232,0.336233
0,0,1,1,0,1,1,1,1,18,0,0.710156,0.335693,0.337755
1,0,1,1,0,0,0,1,0,6,0,0.725702,0.33383,0.33749
0,0,0,1,0,1,1,1,1,26,0,0.661282,0.332129,0.335706
1,0,0,1,0,1,0,1,1,18,0,0.631577,0.332022,0.333421
1,0,0,1,0,1,0,1,0,27,0,0.616967,0.331688,0.334481
0,0,1,0,0,0,1,0,1,17,0,0.665846,0.330878,0.331277
0,0,1,1,0,0,1,1,1,4,0,0.736794,0.330328,0.330327
0,0,1,1,0,0,1,0,1,5,0,0.727091,0.328153,0.328152
0,0,0,0,0,1,0,1,1,5,0,0.684786,0.321481,0.321481
1,0,1,0,0,0,0,1,1,6,0,0.683856,0.320584,0.323962
1,0,0,0,0,0,0,0,0,9,0,0.65865,0.320584,0.320583
0,0,1,1,0,0,0,1,1,8,0,0.66384,0.319269,0.319268
0,0,0,0,0,0,0,1,1,38,0,0.56016,0.318996,0.321579
1,0,0,1,0,0,0,0,0,5,0,0.698926,0.317249,0.317247
0,0,0,0,0,0,1,1,1,13,0,0.684512,0.312858,0.313275
0,0,0,0,1,0,0,0,0,13,0,0.612002,0.312286,0.314396
0,0,0,1,0,0,1,1,1,16,0,0.663372,0.311798,0.314285
1,0,0,1,0,0,1,1,1,4,0,0.718745,0.308452,0.308451
1,0,0,1,0,0,0,1,1,19,0,0.603695,0.306909,0.307296
0,0,0,0,1,0,1,0,0,12,0,0.642589,0.292438,0.292439
0,0,0,0,0,0,0,0,0,93,0,0.488823,0.287678,0.299183
1,0,0,0,0,0,0,1,1,18,0,0.590839,0.284828,0.286964
1,0,1,1,0,0,0,1,1,7,0,0.660292,0.280473,0.280472
0,0,1,0,0,0,1,1,1,3,0,0.697618,0.27039,0.270389
0,0,0,0,0,0,0,0,1,165,0,0.42847,0.261581,0.272566
0,0,0,0,0,0,1,0,1,58,0,0.521192,0.256032,0.258831
0,0,1,0,0,0,0,1,1,8,0,0.617059,0.249434,0.250854
0,0,0,0,0,0,1,0,0,44,0,0.521109,0.23837,0.242397
